Statistiska tätorter 2023, befolkning, landareal, befolkningstäthet;;;;;;;;;;;;;;;;;;;;;;;;
Källa: SCB, www.scb.se/MI0810. Publicerad 2024-11-28;;;;;;;;;;;;;;;;;;;;;;;;
Statistisk tätort: Bebyggelseområde med minst 200 folkbokförda invånare och tät bebyggelse;;;;;;;;;;;;;;;;;;;;;;;;
Befolkning: Befolkning folkbokförd på adress inom statistiska tätorter 2023;;;;;;;;;;;;;;;;;;;;;;;;
Befolkningstäthet: Antal folkbokförda invånare dividerat med tätortens landareal i kvadratkilometer;;;;;;;;;;;;;;;;;;;;;;;;
Kommun och län avser tätorterns mest ursprungliga del eller den ytmässigt största delen av tätorten;;;;;;;;;;;;;;;;;;;;;;;;
Preliminära tätortsbeteckningar avser nya tätorter och tätorter med stor förändring i yta. Lantmäteriet utreder och fastställer definitiva beteckningar. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Länskod;Länsnamn;Kommunkod ;Kommunnamn;Tätortskod;Tätortsbeteckning;"Ny
2023";"Befolkning 
2020-12-30";"Befolkning 
2023-12-31";"Skillnad 
befolkning 
2020-2023";"Landareal 
i hektar
2020";"Landareal 
i hektar
2023";"Skillnad 
i landareal
2020-2023";"Befolknings-
täthet
2020-12-30";"Befolknings-
täthet
2023-12-31";"Skillnad
befolknings-täthet 
2020-2023";;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB101;Ekeby;;1 000;991;-9;64;67;3;1 561;1 480;-81;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB102;Hölö;;1 602;1 646;44;168;171;3;951;962;11;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB103;Järna;;6 153;6 110;-43;392;406;14;1 568;1 504;-64;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB104;Mölnbo;;1 131;1 149;18;150;162;12;756;710;-46;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB105;Pershagen;;2 190;2 242;52;106;106;0;2 073;2 123;50;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB106;Sandviken;;877;451;-426;262;168;-94;334;268;-66;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB107;Nibble;;249;237;-12;48;48;0;521;498;-23;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB109;Tuna;1;;419;;;94;0;;447;0;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB110;Vattubrinken;;396;418;22;94;96;2;420;434;14;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB111;Viksäter och Viksberg;;936;926;-10;155;161;6;603;576;-27;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TB113;Kallfors;;1 539;2 007;468;146;169;23;1 057;1 190;133;;;;;;;;;
01;Stockholm;0181;Södertälje;0181TC108;Södertälje;;76 320;78 377;2 057;2 797;2 937;140;2 729;2 669;-60;;;;;;;;;
01;Stockholm;0182;Nacka;0182TB102;Fisksätra;;7 943;7 897;-46;103;104;1;7 724;7 618;-106;;;;;;;;;
01;Stockholm;0182;Nacka;0182TB103;Hästhagen;;499;535;36;37;37;0;1 345;1 437;92;;;;;;;;;
