Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
1001656;56320;Ovibos;Blainville, 1816;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305234, Id för taxonid.org: 884c60;;;;https://dyntaxa.se/taxon/1001656
206042;56321;Ovibos moschatus;(Zimmermann, 1780);myskoxe;Accepterat;Art;Bofast och reproducerande;Sekundärt inkommen;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovibos;;;GUID: urn:lsid:faunaeur.org:taxname:305235, Id för taxonid.org: d95203;bos moschatus;;;https://dyntaxa.se/taxon/206042
1009406;56322;Ovis;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305237, Id för taxonid.org: a4f522;;;;https://dyntaxa.se/taxon/1009406
233626;56323;Ovis aries;Linnaeus, 1758;får;Accepterat;Art;Bofast och reproducerande;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;;;GUID: urn:lsid:faunaeur.org:taxname:305238, Id för taxonid.org: a39c8b;;;;https://dyntaxa.se/taxon/233626
246283;56324;Ovis aries musimon;(Pallas, 1811);mufflonfår;Accepterat;Underart;Bofast och reproducerande;Aktivt införd efter år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;;Ovis aries;Id för taxonid.org: 16b46f;ovis aries musimon;mufflon;;https://dyntaxa.se/taxon/246283
264917;56325;Ovis aries aries;Linnaeus, 1758;tamfår;Accepterat;Underart;Tillfällig, ej reproducerande;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;;Ovis aries;Id för taxonid.org: dbcdce;;;;https://dyntaxa.se/taxon/264917
6012025;56326;Ovis ammon;(Linnaeus, 1758);argalifår;Accepterat;Art;Osäkert om påträffad;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;;;Id för taxonid.org: badcb2;capra ammon;;;https://dyntaxa.se/taxon/6012025
2002169;56327;Suiformes;Jaeckel, 1911;svindjur;Accepterat;Underordning;;;Animalia;Chordata;Mammalia;Artiodactyla;;;;;;suina;;;https://dyntaxa.se/taxon/2002169
2002170;56328;Suidae;Gray, 1821;äkta svin;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Artiodactyla;;;;;GUID: urn:lsid:faunaeur.org:taxname:12645, Id för taxonid.org: 768e67;;;;https://dyntaxa.se/taxon/2002170
1001655;56329;Sus;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305278, Id för taxonid.org: 172278;;;;https://dyntaxa.se/taxon/1001655
